"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Philippines","Philippines","552","35","20","497","2020-03-24 14:00:00"
"Sichuan","Mainland China","545","3","536","6","2020-03-24 02:00:00"
"India","India","537","10","34","493","2020-03-24 15:00:00 * Maharashtra 101; Kerala 95; Karnataka 41; Telangana 35; Rajasthan 33; Uttar Pradesh 33; Gujarat 33; Delhi 31; Punjab 29; Haryana 28; Tamil Nadu 15; Ladakh 13; West Bengal 9; Andhra Pradesh 8; Chandigarh 7; Madhya Pradesh 7; Jammu and Kashmir 4; Uttarakhand 4; Himachal Pradesh 3; Bihar 3; Odisha 2; Puducherry 1; Chhattisgarh 1; Manipur 1"
"Qatar","Qatar","526","0","41","485","2020-03-24 20:00:00"
"North Carolina","United States","503","0","0","503","2020-03-25 01:00:00 * CTY: Mecklenburg 142; Wake 74; Durham 71; Union 18; Guilford 16; Forsyth 14; Buncombe 12; New Hanover 10; Brunswick 10; Cabarrus 10; Harnett 9; Iredell 9; Orange 6; Pitt 6; Cumberland 5; Carteret 5; Rowan 5; Franklin 4; Cherokee 4; Catawba 4; Nash 4; Wilson 4; Johnston 4; Alamance 3; Chatham 3; Craven 3; Onslow 3; Randolph 3; Gaston 3; Davidson 3; Watauga 3; McDowell 2; Moore 2; Henderson 2; Robeson 2; Beaufort 2; Wayne 2; Hyde 1; Transylvania 1; Jackson 1; Caldwell 1; Lenoir 1; Chowan 1; Scotland 1; Vance 1; Granville 1; Hoke 1; Lincoln 1; Duplin 1; Pasquotank 1; Montgomery 1; Sampson 1; Hertford 1; Davie 1; Stanley 1; Bertie 1; Lee 1; Northampton 1"
"Russia","Russia","495","1","22","472","2020-03-24 14:00:00"
"Heilongjiang","Mainland China","484","13","468","3","2020-03-24 01:00:00"
"Wisconsin","United States","481","5","0","476","2020-03-25 01:00:00 * CTY: Milwaukee 243; Dane 72; Waukesha 31; Fond du Lac 18; Washington 17; Ozaukee 16; Kenosha 13; Sheboygan 6; La Crosse 5; Winnebago 5; Columbia 5; Racine 5; Jefferson 4; Eau Claire 4; Walworth 4; Sauk 4; St. Croix 4; Douglas 4; Brown 3; Rock 3; Pierce 3; Dodge 2; Outagamie 2; Wood 1; Dunn 1; Iowa 1; Marathon 1; Chippewa 1; Green 1; Calumet 1; Bayfield 1"
"Slovenia","Slovenia","480","4","3","473","2020-03-24 14:00:00"
"Peru","Peru","416","7","4","405","2020-03-25 01:00:00 * Lima 322; Piura 19; Loreto 16; Junín 10; Arequipa 9; Callao 8; Lambayeque 8; Cusco 6; La Libertad 5; Ancash 4; Tumbes 3; Huanuco 2; Ica 2; Madre de Dios 1; San Martin 1. Source: @SouthernVOID"
"Shanghai","Mainland China","414","4","330","80","2020-03-24 09:00:00"
"Egypt","Egypt","402","20","80","302","2020-03-24 20:00:00"
"Bahrain","Bahrain","392","3","177","212","2020-03-24 20:00:00"
"Argentina","Argentina","387","6","51","330","2020-03-25 01:00:00 * CABA 147; Buenos Aires 102; Chaco 41; Cordoba 34; Santa Fe 20; Tierra del Fuego 10; Tucuman 7; Entre Rios 5; Mendoza 5; Rio Negro 4; Neuquen 3. Source: @SouthernVOID"
"Hong Kong","Hong Kong","386","4","101","281","2020-03-24 10:00:00"
"Croatia","Croatia","382","1","5","376","2020-03-24 18:00:00"
"Estonia","Estonia","369","0","7","362","2020-03-24 11:00:00"
"Indiana","United States","369","12","0","357","2020-03-25 01:00:00 * CTY: Marion 161; Hamilton 25; St. Joseph 18; Johnson 18; Lake 17; Hendricks 13; Franklin 7; Allen 7; Decatur 6; Howard 6; Floyd 6; Ripley 6; Clark 5; Bartholomew 5; Elkhart 4; Hancock 4; Tippecanoe 4; Delaware 4; Morgan 3; Grant 3; Boone 3; Monroe 3; Vigo 3; Madison 3; Gibson 2; Owen 2; Jennings 2; LaPorte 2; Fayette 2; Starke 2; Tipton 2; Dearborn 2; Washington 2; Shelby 1; Miami 1; Lawrence 1; Dubois 1; Scott 1; Porter 1; Wells 1; Adams 1; Ohio 1; Greene 1; Brown 1; Jackson 1; Warrick 1; Montgomery 1; Putnam 1; Vanderburgh 1; Noble 1"
"Mexico","Mexico","367","4","4","359","2020-03-24 11:00:00"
"Maryland","United States","349","4","0","345","2020-03-25 01:00:00 * CTY: Montgomery 107; Prince George's 63; Baltimore 42; Baltimore City 41; Howard 30; Anne Arundel 24; Harford 5; Charles 5; Carroll 5; Wicomico 4; Frederick 4; Garrett 3; Calvert 3; Cecil 3; Washington 2; Worcester 2; St. Mary's 2; Caroline 1; Somerset 1; Talbot 1; Queen Anne's 1"
"Panama","Panama","345","6","1","338","2020-03-24 11:00:00"
