X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
-61.551,16.265,263,,Guadeloupe,2020-03-18T10:13:16.000Z,16.265,-61.551,27,0,0
64.5853,41.3775,264,,Uzbekistan,2020-03-18T12:13:09.000Z,41.3775,64.5853,15,0,0
10.4515,51.1657,265,,Germany,2020-03-18T19:33:02.000Z,51.1657,10.4515,12327,105,28
121.000000000000114,23.7,266,,Taiwan*,2020-03-18T07:13:12.000Z,23.7,121,100,22,1
-56.0278,3.9193,267,,Suriname,2020-03-14T16:33:03.000Z,3.9193,-56.0278,1,0,0
-107.30249,42.755966,268,Wyoming,US,2020-03-18T13:53:03.000Z,42.755966,-107.30249,15,0,0
-82.764915,40.388783,269,Ohio,US,2020-03-18T19:14:34.000Z,40.388783,-82.764915,86,0,0
-93.900192,45.694454,270,Minnesota,US,2020-03-18T19:14:34.000Z,45.694454,-93.900192,77,0,0
8.6753,9.082,271,,Nigeria,2020-03-18T12:33:03.000Z,9.082,8.6753,8,1,0
35.8623,33.8547,272,,Lebanon,2020-03-18T10:53:02.000Z,33.8547,35.8623,133,3,3
